phrase,chi2,party
look forward work,7.234962563647719,D
hundr billion dollar,7.362656545197817,R
want make sure,7.362656545197817,R
defer enforc departur,7.5137795275590555,D
pass crimin background,7.5137795275590555,D
reflect valu american,7.5137795275590555,D
reform bill would,7.5137795275590555,D
senat bill pass,7.5137795275590555,D
american peopl understand,7.755856002673493,R
feder govern go,7.755856002673493,R
want come unit,7.755856002673493,R
parent us citizen,7.758543420545053,D
stem visa program,7.758543420545053,D
health care plan,7.792234904354535,R
perman resid status,7.792234904354535,R
immigr reform legisl,7.8221826141959205,D
nation broken immigr,7.8221826141959205,D
new york state,7.8221826141959205,D
pay fair share,7.8221826141959205,D
health care system,7.829024867253628,R
afford health care,7.850418519821187,D
crimin illeg immigr,7.858863373346343,R
homeland secur secretari,7.858863373346343,R
unit state texa,7.858863373346343,R
us immigr custom,7.858863373346343,R
take care claus,8.010807409724077,R
work unit state,8.029805532233544,R
keep communiti safe,8.196850393700785,D
protect nativ american,8.196850393700785,D
reduc budget deficit,8.196850393700785,D
sexual assault stalk,8.196850393700785,D
strong urg colleagu,8.196850393700785,D
tear famili apart,8.196850393700785,D
unit state militari,8.20373665361672,R
town hall meet,8.285017326724649,R
mr rise strong,8.47128366879212,D
strong opposit hr,8.490006981031083,D
support immigr reform,8.490006981031083,D
system one work,8.490006981031083,D
becom american citizen,8.63243436429236,R
chines exclus act,8.632514567672482,D
rule pass bill,8.708621706868772,R
suspend rule pass,8.708621706868772,R
unit state sinc,8.708621706868772,R
unit state take,8.708621706868772,R
bipartisan immigr reform,8.879921259842519,D
bring comprehens immigr,8.879921259842519,D
defeat previous question,8.879921259842519,D
senat pass bipartisan,8.879921259842519,D
us citizen children,8.879921259842519,D
version violenc women,8.879921259842519,D
vote immigr reform,8.879921259842519,D
homeland secur bill,9.049284283530579,D
alien unit state,9.0788963296862,R
undermin rule law,9.0788963296862,R
american citizen legal,9.094164832421885,R
dont know mani,9.094164832421885,R
take care famili,9.094164832421885,R
action taken presid,9.159525403344754,D
get right law,9.159525403344754,D
law enforc offici,9.239317887857677,D
clean homeland secur,9.562992125984252,D
district new york,9.562992125984252,D
immigr reform pass,9.562992125984252,D
provid pathway citizenship,9.562992125984252,D
peopl countri illeg,9.664021194036623,R
turn blind eye,9.664021194036623,R
unit state that,9.664021194036623,R
fix immigr system,9.830470398692958,D
immigr system one,9.830470398692958,D
american pacif island,9.964206698586306,D
special immigr visa,10.030520783502311,D
immigr visa program,10.038948661676656,D
urg colleagu vote,10.038948661676656,D
exist immigr law,10.126520343098324,R
know dont know,10.126520343098324,R
peopl come america,10.126520343098324,R
presid obama said,10.126520343098324,R
support defend constitut,10.126520343098324,R
year ago presid,10.126520343098324,R
domest sexual violenc,10.246062992125983,D
make countri stronger,10.246062992125983,D
pacif island communiti,10.246062992125983,D
dont know dont,10.451807218400514,R
peopl illeg countri,10.451807218400514,R
unit state get,10.451807218400514,R
war ii veteran,10.451807218400514,R
