phrase,chi2,party
come forward,1.0234663964464816,D
pay tax,1.0257252830788097,D
protect countri,1.029334679706823,D
broken system,1.0388263509845577,D
contribut economi,1.0388263509845577,D
go school,1.0388263509845577,D
immigr worker,1.0388263509845577,D
import issu,1.0501433121922439,D
immigr parent,1.084269129093013,D
appropri bill,1.0864128233526684,D
rule under,1.096913069708083,D
get rid,1.1028585854001678,D
much time,1.1028585854001678,D
public servant,1.1028585854001678,D
yet anoth,1.1028585854001678,D
make sens,1.1384886383528423,D
american want,1.1420739040606496,D
help us,1.1591800807085288,D
job act,1.1763824910935123,D
tax cut,1.1775624588713143,D
make sure,1.1866702742298632,D
vote bill,1.2104663883734768,D
also know,1.2118236661339525,R
refus take,1.2118236661339525,R
today mr,1.2118236661339525,R
wait year,1.2118236661339525,R
bill provid,1.2136068487460876,D
tax code,1.214421675944753,D
must work,1.224355556059815,D
us american,1.224355556059815,D
would abl,1.249906396786857,D
also make,1.2568626147956283,D
children famili,1.2568626147956283,D
fail act,1.2568626147956283,D
hous would,1.2568626147956283,D
leadership issu,1.2568626147956283,D
tell stori,1.2568626147956283,D
vote favor,1.2568626147956283,D
american immigr,1.2784136981848044,D
bill presid,1.281054561670581,R
democrat vote,1.281054561670581,R
dont take,1.281054561670581,R
thank good,1.281054561670581,R
way make,1.281054561670581,R
across world,1.297597942998479,D
court decis,1.297597942998479,D
let clear,1.297597942998479,D
peopl alreadi,1.297597942998479,D
servic provid,1.297597942998479,D
front line,1.3234303024802019,D
state nation,1.3234303024802019,D
polic offic,1.3432913115272034,D
republican senat,1.3438187841793543,D
violent crime,1.3438187841793543,D
vote hous,1.3438187841793543,D
lose job,1.3509723388322858,R
one import,1.3509723388322858,R
protect us,1.3509723388322858,R
state countri,1.3509723388322858,R
young children,1.3509723388322858,R
work american,1.3594175091961684,D
back countri,1.3938794844448477,D
make harder,1.3938794844448477,D
need immigr,1.3938794844448477,D
one work,1.3938794844448477,D
first step,1.3969542081735464,D
fix problem,1.3969542081735464,D
come us,1.421424357257937,R
decad ago,1.421424357257937,R
let tell,1.421424357257937,R
thing happen,1.421424357257937,R
two thing,1.421424357257937,R
would argu,1.421424357257937,R
care reform,1.4227880103380195,D
major leader,1.4227880103380195,D
san francisco,1.430958253051608,D
best brightest,1.446732809499153,D
earlier year,1.446732809499153,D
reform legisl,1.446732809499153,D
want take,1.470478113866891,D
immigr countri,1.4827694823307023,D
nation nation,1.4923000842722343,R
sign law,1.4939285552202226,D
restor rule,1.5016806031450676,D
work done,1.5016806031450676,D
im proud,1.5582395264768356,D
work hard,1.55895984639062,D
countri histori,1.563517511761248,R
floor vote,1.563517511761248,R
take advantag,1.563517511761248,R
strong support,1.5993106884039288,D
approxim million,1.604279652363339,D
bill help,1.604279652363339,D
immigr abl,1.604279652363339,D
tax credit,1.6107738732493302,D
call us,1.616786898231905,D
help famili,1.616786898231905,D
get work,1.6350145123659385,R
immigr process,1.6350145123659385,R
us citizenship,1.6350145123659385,R
also provid,1.6419932378769655,D
bill mr,1.6419932378769655,D
hous judiciari,1.6419932378769655,D
luther king,1.6419932378769655,D
state immigr,1.6419932378769655,D
human right,1.663498784659885,D
enter us,1.6730127754203634,R
would provid,1.6749018584492492,D
son daughter,1.6758168197275056,D
presid barack,1.7067431592664752,R
find way,1.7187976789864579,D
america today,1.7234975266060046,R
anoth exampl,1.7234975266060046,R
better way,1.7234975266060046,R
mani state,1.7234975266060046,R
yield mr,1.7234975266060046,R
militari servic,1.7601915712392198,D
border enforc,1.7781712149748636,R
chairman yield,1.7781712149748636,R
give opportun,1.7781712149748636,R
make thing,1.7781712149748636,R
need reform,1.7781712149748636,R
